skill,count
аналитическое мышление,23
работа с большим объемом информации,16
бизнес-анализ,16
ms excel,14
sql,13
анализ данных,12
системный анализ,12
постановка задач разработчикам,12
разработка технических заданий,11
работа с базами данных,9
анализ бизнес-процессов,9
1с: бухгалтерия,9
аналитика,8
оптимизация бизнес-процессов,8
моделирование бизнес-процессов,8
1с,8
описание бизнес-процессов,8
ms sql,7
сбор и анализ информации,6
bpmn,6
uml,6
1с: предприятие 8,6
1с: документооборот,6
финансовый анализ,6
python,5
деловое общение,5
моделирование бизнес процессов,5
разработка бизнес-требований,5
обучение и развитие,4
прогнозирование,4
ms powerpoint,4
деловая переписка,4
финансовая отчетность,4
анализ бизнес показателей,4
1c: erp,4
erp-системы на базе 1с,4
деловая коммуникация,4
google docs,4
atlassian jira,4
atlassian confluence,4
rest api,4
power bi,3
подготовка презентаций,3
api,3
agile,3
планирование,3
анализ требований,3
битрикс24,3
аналитический склад ума,3
excel,3
